patent_id,inventor_id
10094819,fl:su_ln:kochhar-1
4241800,fl:pi_ln:stenuick-1
6812318,fl:ya_ln:akatsuka-1
11601405,fl:ch_ln:yang-1373
5884643,000jdp4dd6gu6ah3gvb1u0biq
5049329,fl:ro_ln:allaire-1
9048987,fl:mo_ln:elidrissi-1
D1031386,fl:cu_ln:chen-26
11977384,fl:ta_ln:kim-402
7175072,fl:mu_ln:krishnan-8
3990661,fl:pi_ln:degroef-1
5349922,fl:ja_ln:fleischer-1
4868818,fl:he_ln:madan-3
5733836,fl:do_ln:kubicek-1
11153804,fl:ha_ln:yu-196
11315784,fl:ma_ln:muramatsu-5
10329911,fl:da_ln:skidmore-1
D819127,fl:mi_ln:habig-1
9184446,fl:yu_ln:itou-6
11184770,fl:ju_ln:wang-161
12301558,fl:ra_ln:yarlagadda-2
10979810,fl:da_ln:chan-49
4856543,fl:th_ln:petit-1
11473761,fl:da_ln:gist-1
10932935,fl:ja_ln:birk-2
11527467,fl:ja_ln:kong-3
11608378,fl:me_ln:campbell-5
11529834,fl:mi_ln:boisclair-1
10385738,fl:be_ln:bierbaumer-1
11863984,fl:ja_ln:lindenauer-1
D998890,fl:zh_ln:shi-37
9426957,fl:jo_ln:kramer-17
11134843,fl:yo_ln:kim-627
D802028,fl:ta_ln:li-34
8569043,fl:pa_ln:bertics-1
11346576,fl:ju_ln:kwon-38
10205618,fl:ti_ln:ji-7
12505516,fl:iv_ln:lobatohoyos-1
6079633,fl:hi_ln:inoue-62
7804477,fl:mu_ln:sawada-3
10384724,fl:ke_ln:stockmeier-2
5214057,fl:ur_ln:sonnewald-1
11961895,fl:sh_ln:siddiqui-14
10587356,fl:ra_ln:kumar-94
9329774,fl:je_ln:satterfield-2
8765067,fl:li_ln:wang-449
11823674,fl:pi_ln:furman-1
11706840,fl:vi_ln:nagarajan-1
6881814,fl:bo_ln:zapletal-1
11031357,fl:ko_ln:in-1
D340040,fl:mi_ln:gifford-5
10260182,fl:ja_ln:thompson-32
8684938,fl:ta_ln:katoh-25
12278219,fl:pe_ln:andrews-5
7210239,fl:se_ln:otsubo-1
6337758,fl:fa_ln:beteille-1
10245607,fl:jo_ln:mcmichael-6
9299064,fl:ja_ln:chein-1
7368089,fl:ja_ln:boggs-2
5344180,fl:je_ln:merino-1
8427745,fl:to_ln:matsuda-38
5639719,fl:ma_ln:tanaka-91
9996298,fl:wi_ln:starke-3
8499261,fl:mi_ln:chih-2
7031778,fl:st_ln:sunshine-3
11648850,fl:ji_ln:cho-16
7764754,fl:jo_ln:ketchum-2
11508592,fl:sh_ln:lin-405
6455973,fl:wi_ln:loxsom-1
12159904,fl:ts_ln:yu-50
5090803,fl:la_ln:ames-1
7557112,fl:ma_ln:hayakawa-11
5378506,fl:ge_ln:steiniger-1
8241945,fl:vi_ln:chandrasekaran-2
11762004,fl:st_ln:burstrom-1
9017573,fl:pa_ln:burrows-2
8756181,fl:li_ln:du-30
8136741,fl:mi_ln:mennicken-1
D466884,fl:ji_ln:clayton-2
12035552,fl:mi_ln:kim-311
9449703,fl:an_ln:roy-16
10400431,fl:dr_ln:jeremic-1
12036102,fl:ma_ln:rossetti-3
8366516,fl:mi_ln:lin-81
4914657,fl:al_ln:finn-1
8857015,fl:mi_ln:hufen-1
8767606,fl:su_ln:chun-22
10700946,fl:al_ln:goldner-1
5502296,fl:sh_ln:sato-30
10118164,fl:fr_ln:klose-1
4172314,fl:jo_ln:zupan-1
9307912,fl:mi_ln:anson-1
11230789,fl:ki_ln:suzuki-35
5286723,fl:yo_ln:kimura-10
9520617,fl:em_ln:cooper-4
7011404,fl:lu_ln:michas-2
5660230,fl:ch_ln:obosu-1
D658365,fl:we_ln:schiffman-1
5280576,fl:ch_ln:cao-111
10392588,fl:al_ln:brooker-1
7625262,fl:no_ln:nambu-1
11574048,fl:te_ln:tang-13
8386646,fl:jo_ln:heinke-1
10467790,fl:mo_ln:soni-3
D813187,fl:ka_ln:prevratil-1
6461196,fl:ge_ln:lysy-1
9150230,fl:jo_ln:panigot-1
7713837,fl:ke_ln:chan-25
6258426,fl:ta_ln:fukuoka-15
4717810,fl:fe_ln:schreder-2
7334238,fl:yu_ln:tanaka-37
9044485,fl:ni_ln:damour-2
11559309,fl:wi_ln:patterson-6
6167196,fl:ko_ln:kaplanis-1
7830068,fl:to_ln:nagano-7
7137806,fl:de_ln:babin-2
12071734,fl:ho_ln:chen-206
9539939,fl:co_ln:gardner-1
9212113,fl:in_ln:stuckert-1
7757048,fl:de_ln:wong-19
PP14961,000rzeceuzox3ciyjtnl2qzx0
RE44215,fl:sh_ln:saito-18
7724478,fl:sh_ln:tsuda-23
11080770,fl:ja_ln:lewin-2
7272737,fl:yo_ln:namizuka-1
10289357,fl:ke_ln:fukushima-16
6411248,000s9qy0x4l3x4n99bv2a1qn4
4206037,fl:je_ln:bernard-11
12447883,fl:se_ln:schmitt-3
10347513,fl:ku_ln:ulmer-2
9498306,fl:ig_ln:skvirsky-1
7696193,fl:da_ln:wilson-62
7235820,fl:se_ln:chae-30
5425934,fl:sr_ln:komarneni-1
9249594,fl:ro_ln:caruso-3
7063107,fl:th_ln:loga-1
12077526,fl:jo_ln:priede-1
10651754,fl:pu_ln:shah-11
6293982,fl:ma_ln:imafuku-2
9772543,fl:da_ln:basulto-1
12451819,fl:mi_ln:huang-125
11107706,fl:xi_ln:wu-313
10606665,fl:so_ln:carlson-1
5293312,fl:ro_ln:waggener-1
5189143,fl:ka_ln:sawada-27
D1024326,fl:ju_ln:sauer-5
D294936,fl:ro_ln:brill-2
12199252,fl:ka_ln:fink-4
5964728,fl:po_ln:lin-79
5626037,fl:ke_ln:jeffcoat-2
9598889,fl:ch_ln:ulrich-1
8753225,fl:ke_ln:kim-115
10604410,fl:eu_ln:kim-77
D718675,fl:ma_ln:sperling-4
D691023,000ua1xlntucefomeaptsceea
9664619,fl:da_ln:weitz-1
8929301,fl:be_ln:pelletier-5
5503968,fl:jo_ln:lee-390
8022451,fl:sh_ln:nakamura-89
7029440,fl:jo_ln:daniel-22
4518683,fl:ke_ln:ito-37
12492429,fl:st_ln:sigurjonsson-3
7770023,fl:gi_ln:yuval-1
D371396,fl:ja_ln:lee-305
7634403,fl:da_ln:johnston-32
11662335,fl:ro_ln:macneill-1
9582815,fl:al_ln:watfa-1
12417061,fl:yi_ln:zheng-23
8514560,fl:ch_ln:wu-293
6739954,fl:ma_ln:stocker-3
10668217,fl:an_ln:mansencal-1
10983635,fl:yo_ln:kobayashi-77
12274617,fl:fr_ln:duhay-1
3956923,fl:hu_ln:thompson-4
